loss,hidden_dim,layer_dim,dropout,residxSD, residxQE, residxSV, residxPR, residxHD, residexTL, resvalSD,resvalQE,resvalSV,resvalPR,resvalHD,resvalTL
BCELoss(),16,4,0.2,19,0,1,1,0,16,0.025,-0.001,0.039,0.16,0.083,0.185
BCELoss(),16,4,0.2,12,12,1,2,10,9,0.026,-0.01,0.039,0.155,0.065,0.185
BCELoss(),16,4,0.2,12,21,1,3,4,19,0.03,-0.006,0.042,0.158,0.074,0.185
BCELoss(),16,4,0.2,7,0,1,1,9,12,0.023,-0.006,0.041,0.16,0.062,0.185
MSELoss(),16,8,0.1,12,9,2,2,2,12,0.026,-0.012,0.051,0.172,0.072,0.058
MSELoss(),16,8,0.1,21,22,2,3,4,15,0.027,-0.008,0.054,0.18,0.069,0.057
MSELoss(),16,8,0.1,15,0,2,4,3,8,0.026,-0.012,0.054,0.18,0.065,0.057
MSELoss(),16,8,0.1,13,16,2,1,4,11,0.026,-0.012,0.05,0.166,0.065,0.057
MSELoss(),16,8,0.1,16,17,3,3,15,11,0.027,-0.012,0.053,0.176,0.066,0.057
BCELoss(),16,8,0.1,26,26,3,2,7,18,0.028,0.004,0.053,0.172,0.082,0.185
BCELoss(),16,8,0.1,13,15,2,2,11,11,0.026,0.0,0.051,0.169,0.066,0.185
BCELoss(),16,8,0.1,15,15,2,3,9,9,0.027,-0.004,0.055,0.172,0.073,0.185
BCELoss(),16,8,0.1,14,22,1,2,9,25,0.033,-0.004,0.054,0.175,0.082,0.185
BCELoss(),16,8,0.1,13,15,2,2,12,6,0.028,0.004,0.056,0.172,0.061,0.185
MSELoss(),16,8,0.2,19,16,2,3,5,13,0.027,-0.008,0.052,0.165,0.076,0.057
MSELoss(),16,8,0.2,10,0,3,3,4,9,0.026,-0.012,0.057,0.175,0.073,0.057
MSELoss(),16,8,0.2,14,0,4,3,13,6,0.025,-0.004,0.053,0.18,0.065,0.057
MSELoss(),16,8,0.2,10,11,4,2,11,10,0.03,-0.004,0.054,0.167,0.063,0.057
MSELoss(),16,8,0.2,18,18,2,3,4,16,0.028,-0.008,0.051,0.172,0.075,0.057
BCELoss(),16,8,0.2,14,13,3,2,0,11,0.029,-0.005,0.053,0.168,0.073,0.185
BCELoss(),16,8,0.2,21,0,2,2,18,17,0.023,0.002,0.053,0.176,0.072,0.185
BCELoss(),16,8,0.2,9,21,1,2,4,21,0.029,-0.008,0.057,0.176,0.073,0.185
BCELoss(),16,8,0.2,16,17,1,2,4,12,0.023,-0.004,0.056,0.176,0.072,0.185
BCELoss(),16,8,0.2,10,21,1,2,15,20,0.029,-0.008,0.055,0.176,0.071,0.185
MSELoss(),16,16,0.1,17,0,2,2,3,8,0.027,-0.012,0.051,0.18,0.067,0.057
MSELoss(),16,16,0.1,20,17,2,2,20,17,0.029,-0.012,0.051,0.176,0.071,0.057
MSELoss(),16,16,0.1,16,16,1,3,16,11,0.027,0.0,0.051,0.172,0.065,0.057
MSELoss(),16,16,0.1,19,0,12,3,5,8,0.028,-0.004,0.057,0.166,0.071,0.057
MSELoss(),16,16,0.1,14,0,2,3,8,10,0.027,-0.012,0.054,0.172,0.073,0.058
