"Begin Time - hh:mm:ss.ms","End Time - hh:mm:ss.ms","Duration - hh:mm:ss.ms","default","P1","P2","Experimenter"
00:12:30.197,00:12:34.150,00:00:03.953,,,"and English is more my subject like I'm in advanced English all the time but",
00:12:34.858,00:12:36.868,00:00:02.010,,,"math it's all right I just",
00:12:38.608,00:12:39.280,00:00:00.672,,"yeah so",,
00:12:39.550,00:12:41.690,00:00:02.140,,,"all right so now you add",
00:12:44.385,00:12:45.465,00:00:01.080,,,"you add nine right",
00:12:45.820,00:12:46.044,00:00:00.224,,"yeah",,
00:12:46.320,00:12:46.890,00:00:00.570,,,"so",
00:12:50.621,00:12:52.020,00:00:01.399,,,"so you add nine to this",
00:12:53.155,00:12:58.830,00:00:05.675,,,"and then you're left with thirteen p equals fifty",
00:13:02.140,00:13:02.743,00:00:00.603,,,"so",
00:13:05.080,00:13:07.375,00:00:02.295,,"so then you want to give it to the thirteen",,
00:13:08.105,00:13:09.790,00:00:01.685,,,"so you divide it by thirteen",
00:13:13.020,00:13:15.360,00:00:02.340,,,"wait does the fraction umm",
00:13:17.535,00:13:21.060,00:00:03.525,,,"does the fifty divided by thirteen equal out to a fraction",
00:13:21.870,00:13:25.067,00:00:03.197,,"no I don't think it's simplified I think it's just fifty over thirteen",,
00:13:25.320,00:13:26.000,00:00:00.680,,,"all right great",
00:13:29.341,00:13:32.250,00:00:02.909,,,"I thought that it could've been a simplified fraction I was not sure",
00:13:32.520,00:13:37.260,00:00:04.740,,"I mean like thirteen is like prime numbers so it would not be that likely",,
00:13:37.626,00:13:38.000,00:00:00.374,,,"yeah",
00:13:38.850,00:13:43.379,00:00:04.529,,,"so with this one it's a little bit different but you just subtract ten",
00:13:44.800,00:13:45.700,00:00:00.900,,,"from both sides",
00:13:47.030,00:13:47.160,00:00:00.130,,"yup",,
00:13:47.890,00:13:48.460,00:00:00.570,,,"so",
00:13:49.392,00:13:50.312,00:00:00.920,,,"twenty four",
00:13:52.810,00:13:53.731,00:00:00.921,,,"and umm",
00:13:55.136,00:13:56.996,00:00:01.860,,,"so you are left with six x",
00:13:57.460,00:13:58.120,00:00:00.660,,,"equals",
00:13:58.790,00:14:00.805,00:00:02.015,,,"twenty-four so then you divide by",
00:14:01.330,00:14:05.152,00:00:03.822,,,"sorry I'm getting over a cold so that's why I sound",
