"Begin Time - hh:mm:ss.ms","End Time - hh:mm:ss.ms","Duration - hh:mm:ss.ms","default","Experimenter","P2","P1","Experimenter 2"
00:13:04.250,00:13:12.673,00:00:08.423,,,,"that would be fifteen times four is sixty",
00:13:11.261,00:13:12.100,00:00:00.839,,,"sixty",,
00:13:12.890,00:13:13.419,00:00:00.529,,,,"right",
00:13:13.599,00:13:15.016,00:00:01.417,,,"so it's four and two fifteen",,
00:13:18.707,00:13:20.852,00:00:02.145,,,,"okay I got it to work kinds of sort of",
00:13:22.808,00:13:24.025,00:00:01.217,,,,"would you look at that",
00:13:24.175,00:13:25.861,00:00:01.686,,,,"wait it keeps moving your face",
00:13:25.861,00:13:26.609,00:00:00.748,,,,"I don't know why",
00:13:26.609,00:13:28.655,00:00:02.046,,,,"okay there we go now it's working",
00:13:28.655,00:13:33.534,00:00:04.879,,,,"so you would start this by subtraction",
00:13:33.693,00:13:39.184,00:00:05.491,,,,"right they're actually twenty problems",
00:13:44.226,00:13:47.781,00:00:03.555,,,,"(sfx) oh my god just x me out",
00:13:47.791,00:13:48.517,00:00:00.726,,,,"hold on",
00:13:50.196,00:13:51.762,00:00:01.566,,,,"there we go okay I'm back I'm alive",
00:13:52.979,00:13:53.568,00:00:00.589,,,"okay okay",,
00:13:53.837,00:13:57.329,00:00:03.492,,,,"so this wait so where do you want to start",
00:13:57.998,00:14:03.294,00:00:05.296,,,"well I'm just going to add ten to the other side because",,
00:14:03.405,00:14:03.694,00:00:00.289,,,,"let's see",
00:14:12.147,00:14:12.496,00:00:00.349,,,"pause filler",,
00:14:12.994,00:14:14.341,00:00:01.347,,,,"wait ten minus fifty",
00:14:14.341,00:14:17.983,00:00:03.642,,,,"and then you would subtract eight k right",
00:14:18.122,00:14:25.376,00:00:07.254,,,"yup and you have negative fifty-eight and there",,
00:14:25.974,00:14:28.229,00:00:02.255,,,,"my handwriting is so awful on this thing",
00:14:28.229,00:14:29.816,00:00:01.587,,,,"it's already really bad",
00:14:31.003,00:14:34.864,00:00:03.861,,,"k equals fifty-eight",,
00:14:35.722,00:14:38.865,00:00:03.143,,,,"eight and two sevenths so",
00:14:38.865,00:14:40.002,00:00:01.137,,,"and then that would be",,
00:14:40.501,00:14:41.629,00:00:01.128,,,,"eight and two sevenths",
00:14:42.547,00:14:43.215,00:00:00.668,,,"oh yeah okay",,
